agency,business_title,posting_salary_range_from,posting_salary_range_to,posting_date,posting_until,posting_duration,actual_base_salary,actual_pay_basis,actual_regular_gross_paid,actual_total_ot_paid,actual_total_other_pay,actual_total_income_paid,match_ratio
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of Public Health Clinics",53074,61035,2025-04-03T00:00:00.000000,2026-04-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Wellness Advocate Supervisor, Bureau of Alcohol and Drug Use Prevention, Care and Treatment",84981,97728,2025-02-11T00:00:00.000000,2026-02-11T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Outreach Nurse Educator/Trainer, Bureau of Tuberculosis Control",84981,84981,2025-04-22T00:00:00.000000,2026-04-22T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DISTRICT ATTORNEY-MANHATTAN,Supervisor of Community Events and Engagement,72779,76767,2024-06-10T00:00:00.000000,2024-07-10T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of School Health",24.1,27.71,2024-12-26T00:00:00.000000,2025-12-26T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT FOR THE AGING,Program Manager,73648,84695,2025-05-02T00:00:00.000000,2025-10-29T00:00:00.000000,180,202221.00,per Annum,206686.37,0.00,3000.00,209686.37,85.71428571428571
HRA/DEPT OF SOCIAL SERVICES,COURT PROCESSING UNIT CLERK,40957,47100,2025-01-31T00:00:00.000000,2025-03-02T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPARTMENT OF PROBATION,Payroll and PS Budget Director,106602,153362,2025-03-21T00:00:00.000000,2025-04-20T00:00:00.000000,30,55493.00,per Annum,55195.08,20561.26,2199.10,77955.44,85.18518518518519
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,64242,96395,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
BRONX DISTRICT ATTORNEY,Labor Relations Associate,80000,80000,2025-02-14T00:00:00.000000,2025-08-15T00:00:00.000000,182,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
BRONX DISTRICT ATTORNEY,Labor Relations Associate,80000,80000,2025-02-14T00:00:00.000000,2025-08-15T00:00:00.000000,182,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
HRA/DEPT OF SOCIAL SERVICES,MACHINE LEADER,58381,67138,2024-09-03T00:00:00.000000,2024-10-03T00:00:00.000000,30,38262.00,per Annum,36924.65,109.87,3007.72,40042.240000000005,90.9090909090909
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Exercises and Training, Bureau of Agency Preparedness and Response",68213,123764,2025-07-10T00:00:00.000000,2026-07-10T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Director, Programs and Strategy, Division Management & Systems Coordination",106117,135000,2025-05-20T00:00:00.000000,2026-05-20T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT LABORATORY ENGINEER,57866,70075,2025-01-15T00:00:00.000000,2025-02-14T00:00:00.000000,30,73878.00,per Annum,71341.09,0.00,267.02,71608.11,94.23076923076923
HRA/DEPT OF SOCIAL SERVICES,INTAKE CLERK,45040,70704,2025-03-12T00:00:00.000000,2025-04-11T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF HEALTH/MENTAL HYGIENE,"Chronic Disease Data Analyst, Bureau of Chronic Disease Prevention",74536,74536,2025-06-25T00:00:00.000000,2026-06-25T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
NYC HOUSING AUTHORITY,Construction Project Manager,76262,95000,2025-07-02T00:00:00.000000,2025-08-01T00:00:00.000000,30,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
FINANCIAL INFO SVCS AGENCY,Junior Mainframe System Programmer,75000,115000,2025-04-30T00:00:00.000000,2025-05-30T00:00:00.000000,30,104604.00,per Annum,2513.48,0.00,230.14,2743.62,85.24590163934427
ADMIN FOR CHILDREN'S SVCS,ECS Investigative Consultant I,63481,97376,2024-06-11T00:00:00.000000,2024-07-11T00:00:00.000000,30,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
ADMIN FOR CHILDREN'S SVCS,Relationship Manager,75000,160000,2025-07-23T00:00:00.000000,2025-08-22T00:00:00.000000,30,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
DEPT OF HEALTH/MENTAL HYGIENE,"Co-Response Team Supervisor, Bureau of Health Promotion for Justice-Impacted Populations",82192,105743,2025-07-23T00:00:00.000000,2026-07-23T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Machinist's Helper,317.04,317.04,2025-05-13T00:00:00.000000,2025-06-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,PROJECT SPECIALIST,100743,115854,2024-01-31T00:00:00.000000,2024-03-01T00:00:00.000000,30,128750.00,per Annum,62158.46,0.00,0.00,62158.46,100.0
DISTRICT ATTORNEY-MANHATTAN,Victim Services Advocate,60224,60224,2025-07-24T00:00:00.000000,2025-08-23T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPT OF ENVIRONMENT PROTECTION,Chief of Bluebelt Planning and Design,64922,173486,2023-05-16T00:00:00.000000,2023-06-15T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,ELIGIBILITY AND SUPPORT MANAGER,66062,75971,2025-04-28T00:00:00.000000,2025-05-28T00:00:00.000000,30,91085.00,per Annum,90835.42,0.00,0.00,90835.42,90.9090909090909
DEPT OF HEALTH/MENTAL HYGIENE,"Revenue Analyst, Bureau of Revenue",52561,75000,2025-02-20T00:00:00.000000,2026-02-20T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,76262,110444,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Case Monitor, AOT",57490,74374,2025-07-22T00:00:00.000000,2025-11-19T00:00:00.000000,120,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Community Coordinator,62868,97593,2025-07-21T00:00:00.000000,2025-08-20T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,LEAVE OF ABSENCE ASSISTANT,39763,45728,2024-06-06T00:00:00.000000,2024-07-06T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF ENVIRONMENT PROTECTION,Agency Attorney Intern,70228,85269,2025-03-13T00:00:00.000000,2025-04-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,BOB- Administrative Engineer N/M,62407,169806,2025-07-12T00:00:00.000000,2025-08-31T00:00:00.000000,50,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
TAXI & LIMOUSINE COMMISSION,IT Product Owner,75000,104334,2025-05-07T00:00:00.000000,2025-06-06T00:00:00.000000,30,25.78,per Hour,39514.28,37.54,1850.72,41402.54,87.09677419354838
DEPARTMENT OF TRANSPORTATION,"Planning, Design and Policy Analyst, Public Realm",84018,123141,2025-06-01T00:00:00.000000,2025-07-01T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
BRONX DISTRICT ATTORNEY,Human Resources Wellness Coordinator,58000,65000,2025-05-06T00:00:00.000000,2025-11-04T00:00:00.000000,182,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DISTRICT ATTORNEY KINGS COUNTY,Paralegal,51227,51227,2025-07-28T00:00:00.000000,2025-08-17T00:00:00.000000,20,232600.00,per Annum,215823.44,0.00,0.00,215823.44,100.0
DEPT OF ENVIRONMENT PROTECTION,Assistant Counsel,70228,85269,2025-01-07T00:00:00.000000,2025-02-06T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Assistant Counsel,79620,117541,2023-04-23T00:00:00.000000,2023-05-23T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,Assistant Commissioner of Brooklyn Neighborhood Health,91090,202000,2025-01-06T00:00:00.000000,2026-01-06T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,OUTREACH DATA SPECIALIST,43143,71800,2025-03-20T00:00:00.000000,2025-04-19T00:00:00.000000,30,48246.00,per Annum,49638.15,0.00,3279.90,52918.05,91.56626506024097
DEPT OF HEALTH/MENTAL HYGIENE,"Early Intervention Official Designee, Bureau of Early Intervention",63732,63732,2025-04-23T00:00:00.000000,2026-04-23T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Community Engagement & Partnerships Coordinator, Bureau of Harlem Neighborhood Health",60889,85000,2025-03-19T00:00:00.000000,2026-03-19T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,FCDU SUPERVISOR,68423,78686,2025-05-22T00:00:00.000000,2025-06-21T00:00:00.000000,30,68464.00,per Annum,2412.27,416.45,113.06,2941.7799999999997,100.0
HUMAN RIGHTS COMMISSION,Youth Outreach Specialist,55567,63902,2025-04-30T00:00:00.000000,2025-05-30T00:00:00.000000,30,197991.00,per Annum,165841.16,0.00,3000.00,168841.16,85.18518518518519
BRONX DISTRICT ATTORNEY,Assistant District Attorney -  Various Bureau,88000,198500,2024-02-22T00:00:00.000000,2026-11-17T00:00:00.000000,999,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Physician (Part-Time), Bureau of School Health",79.23,84.86,2023-09-07T00:00:00.000000,2023-10-07T00:00:00.000000,30,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,Deputy Director of Data Engineering and Hosting,75000,180000,2025-07-29T00:00:00.000000,2025-08-22T00:00:00.000000,24,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of School Health",24.1,30.18,2024-09-04T00:00:00.000000,2025-09-04T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,EEO Investigator,89613,132293,2024-10-16T00:00:00.000000,2024-11-15T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
HOUSING PRESERVATION & DVLPMNT,Integrity Review Director,105000,105000,2025-08-11T00:00:00.000000,2025-10-10T00:00:00.000000,60,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
HRA/DEPT OF SOCIAL SERVICES,"DEPUTY DIRECTOR, SINGLE ISSUE REVIEW",84451,87917,2023-10-19T00:00:00.000000,2023-11-18T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF HEALTH/MENTAL HYGIENE,"Consultant Public Health Nurse (Part-Time), Bureau of Public Health Clinics",50.3908,50.3908,2023-07-10T00:00:00.000000,2023-08-09T00:00:00.000000,30,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,BOB- Civil Engineering Intern,56181,68034,2024-06-12T00:00:00.000000,2024-07-12T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Analyst, Bureau of Maternal Infant and Reproductive Health",84981,84981,2024-09-03T00:00:00.000000,2025-09-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,BOB- Budget Analyst I,95051,127802,2025-07-29T00:00:00.000000,2025-09-08T00:00:00.000000,41,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,Child Care Inspection Supervisor,68023,78266,2025-04-14T00:00:00.000000,2025-08-12T00:00:00.000000,120,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,IT Business Analyst,75000,160000,2023-08-21T00:00:00.000000,2023-09-20T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Poison Information Specialist, Bureau of Environmental Disease and Injury Prevention",87477,95588,2024-11-19T00:00:00.000000,2025-11-19T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Senior Environmental Program Coordinator,84468,111003,2022-07-25T00:00:00.000000,2022-08-24T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
CONSUMER AND WORKER PROTECTION,Staff Counsel,83000,95450,2025-07-25T00:00:00.000000,2025-10-23T00:00:00.000000,90,193743.00,per Annum,0.00,0.00,13206.88,13206.88,88.23529411764706
DEPARTMENT OF CORRECTION,Assistant General Counsel,73476,84498,2025-06-06T00:00:00.000000,2025-09-04T00:00:00.000000,90,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
BRONX DISTRICT ATTORNEY,Homicide Advocate - Crime Victims Assistance Bureau,70022,70022,2025-03-14T00:00:00.000000,2025-04-13T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPARTMENT OF CITY PLANNING,Planning Team Leader,82494,94868,2025-05-27T00:00:00.000000,2025-06-26T00:00:00.000000,30,95318.00,per Annum,229.95,0.00,0.00,229.95,87.09677419354838
HRA/DEPT OF SOCIAL SERVICES,INFOLINE AGENT,41248,47435,2023-11-16T00:00:00.000000,2023-12-16T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF HEALTH/MENTAL HYGIENE,"Korean Translator - Project Manager, Bureau of Communications",60889,75000,2024-09-23T00:00:00.000000,2025-09-23T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,ELIGIBILITY SPECIALIST,43777,64897,2023-11-06T00:00:00.000000,2023-12-06T00:00:00.000000,30,49107.00,per Annum,47363.38,5216.56,4402.48,56982.42,100.0
HRA/DEPT OF SOCIAL SERVICES,ELIGIBILITY SPECIALIST,43777,64897,2023-11-06T00:00:00.000000,2023-12-06T00:00:00.000000,30,49107.00,per Annum,47363.38,5216.56,4402.48,56982.42,100.0
HOUSING PRESERVATION & DVLPMNT,Deputy General Counsel for Operations and Legislation,170000,180000,2025-07-15T00:00:00.000000,2025-09-13T00:00:00.000000,60,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
HRA/DEPT OF SOCIAL SERVICES,PRINCIPAL ASSISTANT TO DEPUTY COMMISSIONER,58695,67499,2022-09-21T00:00:00.000000,2022-10-21T00:00:00.000000,30,224466.00,per Annum,219164.33,0.00,3000.00,222164.33,100.0
HRA/DEPT OF SOCIAL SERVICES,SPECIAL ASSISTANT,92283,124080,2024-06-18T00:00:00.000000,2024-07-18T00:00:00.000000,30,164440.00,per Annum,15568.09,0.00,0.00,15568.09,100.0
DEPARTMENT OF TRANSPORTATION,Traffic Analyst - OLS,73878,96395,2024-08-22T00:00:00.000000,2024-09-21T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Nutrition Education Coordinator, Bureau of Chronic Disease Prevention",60889,70022,2024-12-06T00:00:00.000000,2025-12-06T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Energy Project Manager,90667,137501,2024-10-08T00:00:00.000000,2024-11-07T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,GIM Supervisor of Stock Workers,51011,78254,2025-05-02T00:00:00.000000,2025-06-01T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
FINANCIAL INFO SVCS AGENCY,Mainframe Systems Manager,75000,180000,2025-07-21T00:00:00.000000,2025-08-20T00:00:00.000000,30,104604.00,per Annum,2513.48,0.00,230.14,2743.62,85.24590163934427
HRA/DEPT OF SOCIAL SERVICES,PAYMENT ASSOCIATE,57976,66672,2024-12-03T00:00:00.000000,2025-01-02T00:00:00.000000,30,78686.00,per Annum,75983.86,59789.15,8046.42,143819.43000000002,90.2439024390244
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Advisor, Maternal Mental Health and Epidemiologist, Office of Chief Medical Officer",40000,180000,2025-07-02T00:00:00.000000,2026-02-01T00:00:00.000000,214,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Assistant Director, Assisted Outpatient Treatment",82192,107736,2025-01-08T00:00:00.000000,2026-01-08T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
OFFICE OF CRIMINAL JUSTICE,"Supervising Attorney for Training, Assigned Counsel Pan",72038,175000,2024-01-25T00:00:00.000000,2024-02-24T00:00:00.000000,30,260042.00,per Annum,213062.77,0.00,3000.00,216062.77,85.24590163934427
DEPT OF HEALTH/MENTAL HYGIENE,"Water System Analyst, Bureau of Environmental Sciences and Engineering",74144,85266,2025-03-19T00:00:00.000000,2026-03-19T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,SENIOR CLERK,40957,66353,2025-05-19T00:00:00.000000,2025-06-18T00:00:00.000000,30,92389.00,per Annum,89216.55,0.00,0.00,89216.55,91.89189189189189
HRA/DEPT OF SOCIAL SERVICES,SECTION SUPERVISOR,59715,68672,2025-06-13T00:00:00.000000,2025-07-13T00:00:00.000000,30,68464.00,per Annum,2412.27,416.45,113.06,2941.7799999999997,100.0
HRA/DEPT OF SOCIAL SERVICES,ATTORNEY INTERNE,70228,80763,2025-04-24T00:00:00.000000,2025-05-24T00:00:00.000000,30,80763.00,per Annum,71865.54,0.00,3000.00,74865.54,100.0
DEPARTMENT OF TRANSPORTATION,Graphic Designer (Print and UI & UX),60889,94521,2025-05-09T00:00:00.000000,2025-06-08T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
